#    time[fs]          Re(autocorrel)      Im(autocorrel)      Abs(autocorrel)
     0.00000000        0.03000000000000    0.00000000000000    0.03000000000000
     0.00100000        0.02999163645892   -0.00069715874855    0.02999973812894
     0.00740080        0.02954320596784   -0.00513212453589    0.02998565859057
     0.01395488        0.02838780796102   -0.00954340706798    0.02994902768533
     0.02064683        0.02651361538086   -0.01379672543773    0.02988848328986
     0.02746091        0.02393838486033   -0.01775291300493    0.02980288895195
     0.03438291        0.02071002097501   -0.02127603316694    0.02969132122533
     0.04139997        0.01690562580312   -0.02424011378098    0.02955305906180
     0.04850039        0.01262895960475   -0.02653561435875    0.02938757305554
     0.05567357        0.00800640818898   -0.02807520403008    0.02919451409802
     0.06290991        0.00318166923600   -0.02879847827840    0.02897370135621
     0.07020076       -0.00169053670802   -0.02867532063684    0.02872510971236
     0.07753834       -0.00645136108609   -0.02770771374240    0.02844885693123
     0.08491574       -0.01094492731371   -0.02592991198617    0.02814519087719
     0.09232677       -0.01502523569106   -0.02340699530081    0.02781447710427
     0.09976599       -0.01856250161856   -0.02023192174390    0.02745718710630
     0.10722863       -0.02144860644156   -0.01652127911428    0.02707388745372
     0.11471050       -0.02360140702587   -0.01240999903341    0.02666522997482
     0.12220796       -0.02496772626414   -0.00804533917598    0.02623194307057
     0.12971787       -0.02552492629024   -0.00358046087498    0.02577482419338
     0.13723751       -0.02528104435666    0.00083206836625    0.02529473347417
     0.14476455       -0.02427354425425    0.00504653261779    0.02479258845150
     0.15229700       -0.02256680091091    0.00892979975689    0.02426935984016
     0.15983317       -0.02024849028136    0.01236628307286    0.02372606827337
     0.16737160       -0.01742509939130    0.01526193650445    0.02316378195940
     0.17491109       -0.01421680155266    0.01754714305886    0.02258361520917
     0.18245060       -0.01075195895715    0.01917841438976    0.02198672781297
     0.18998927       -0.00716151919571    0.02013887841100    0.02137432527224
     0.19752638       -0.00357356430226    0.02043758866662    0.02074765992415
     0.20506132       -0.00010825167480    0.02010774164578    0.02010803303455
     0.21259359        0.00312664293160    0.01920393427208    0.01945679797778
     0.22012278        0.00603940748884    0.01779863169957    0.01879536467305
     0.22764856        0.00855717153428    0.01597804399804    0.01812520550699
     0.23517065        0.01062769796133    0.01383762844092    0.01744786304469
     0.24268882        0.01222015618308    0.01147744152503    0.01676495991941
     0.25020291        0.01332489272876    0.00899756164186    0.01607821139717
     0.25771279        0.01395226120160    0.00649379003880    0.01538944124085
     0.26521834        0.01413061463599    0.00405381534474    0.01470060164892
     0.27271949        0.01390359793175    0.00175399685196    0.01401379821478
     0.28021621        0.01332690485398   -0.00034311438430    0.01333132103235
     0.28770845        0.01246468210907   -0.00219043785266    0.01265568323191
     0.29519621        0.01138577171698   -0.00375717294133    0.01198966830660
     0.30267948        0.01015998221691   -0.00502876148173    0.01133638746198
     0.31015828        0.00885456952738   -0.00600605019740    0.01069934766651
     0.31763264        0.00753109029570   -0.00670373659583    0.01008252971175
     0.32510259        0.00624276544501   -0.00714821328930    0.00949047278225
     0.33256816        0.00503246078197   -0.00737495049921    0.00892835686943
     0.34002941        0.00393135661709   -0.00742557362503    0.00840206572882
     0.34748638        0.00295834116149   -0.00734480167345    0.00791820017745
     0.35493912        0.00212012484696   -0.00717741287469    0.00748399525257
     0.36238769        0.00141203648208   -0.00696539619003    0.00710708035066
     0.36983215        0.00081942900503   -0.00674543224700    0.00679502171395
     0.37727256        0.00031959402734   -0.00654682547134    0.00655462158286
     0.38470899       -0.00011593836912   -0.00638998205394    0.00639103374699
     0.39214148       -0.00051885407910   -0.00628549735155    0.00630687612942
     0.39957011       -0.00092141175571   -0.00623388297623    0.00630161063419
     0.40699494       -0.00135385101763   -0.00622592985465    0.00637142959884
     0.41441603       -0.00184199471653   -0.00624367059604    0.00650971328459
     0.42183344       -0.00240517447741   -0.00626187417249    0.00670790074605
     0.42924724       -0.00305458914756   -0.00624997960044    0.00695649048489
     0.43665750       -0.00379218405140   -0.00617435376515    0.00724591638766
     0.44406435       -0.00461010322684   -0.00600074273248    0.00756716361020
     0.45146783       -0.00549073022836   -0.00569678327254    0.00791210832174
     0.45886801       -0.00640733771155   -0.00523443326334    0.00827364902194
     0.46626494       -0.00732529087425   -0.00459218788681    0.00864569696324
     0.47365867       -0.00820374466870   -0.00375696067691    0.00902309149445
     0.48104925       -0.00899774509629   -0.00272552647532    0.00940148453094
     0.48843672       -0.00966062468927   -0.00150544630630    0.00977722036000
     0.49582114       -0.01014656772739   -0.00011542084596    0.01014722418291
     0.50320256       -0.01041321244412    0.00141495180428    0.01050890489132
     0.51058101       -0.01042415576443    0.00304600835250    0.01086007321727
     0.51795654       -0.01015123098484    0.00472940740010    0.01119887426770
     0.52532919       -0.00957643994629    0.00641000865607    0.01152373259911
     0.53269903       -0.00869343335832    0.00802816431643    0.01183330916723
     0.54006611       -0.00750847117776    0.00952228802392    0.01212646315452
     0.54743048       -0.00604080283719    0.01083161315510    0.01240222328696
     0.55479216       -0.00432243444413    0.01189900068700    0.01265976527717
     0.56215119       -0.00239729035719    0.01267365532049    0.01289839293243
     0.56950758       -0.00031979911804    0.01311362392511    0.01311752278157
     0.57686139        0.00184703806216    0.01318795625890    0.01331667150191
     0.58421261        0.00403401361109    0.01287842325300    0.01349544557611
     0.59156129        0.00616841152313    0.01218070832314    0.01365353272864
     0.59890745        0.00817691805464    0.01110501120232    0.01379069478583
     0.60625110        0.00998861618939    0.00967603053929    0.01390676167827
     0.61359226        0.01153793068921    0.00793231972487    0.01400162636291
     0.62093095        0.01276739245851    0.00592503878559    0.01407524048818
