#    time[fs]          Re(autocorrel)      Im(autocorrel)      Abs(autocorrel)
     0.00000000        1.00000000000000    0.00000000000000    1.00000000000000
     0.20000000       -0.08056758857152    0.67987722480348    0.68463433826731
     0.40000000       -0.03151189277820   -0.20774556923088    0.21012191918390
     0.60000000        0.28201774206654    0.36380068574369    0.46030961948224
     0.80000000       -0.25710897352264    0.20952043040439    0.33166826049942
     1.00000000       -0.08943376421611    0.11700710445195    0.14727206345432
     1.20000000       -0.36547010645799   -0.10004757348311    0.37891676615620
     1.40000000        0.24922104762850   -0.28591519710180    0.37928700282874
     1.60000000       -0.03525701524389    0.34988193492413    0.35165384330355
     1.80000000       -0.23997299701689   -0.34146163468644    0.41735247364788
     2.00000000        0.40960938132906    0.03218808830265    0.41087214349644
     2.20000000       -0.25219661606675    0.21064179997011    0.32859260650564
     2.40000000        0.07866599114118   -0.24620942507825    0.25847131206304
     2.60000000        0.04052162428915    0.22543947364072    0.22905230474814
     2.80000000       -0.13324992173063   -0.16786233387065    0.21432056544746
     3.00000000        0.19226588763185    0.08526427866190    0.21032396145612
     3.20000000       -0.21700747261975    0.02111476286212    0.21803228289301
     3.40000000        0.17912783154078   -0.14008935787443    0.22740230478641
     3.60000000       -0.07174669069853    0.22015216787138    0.23154819076093
     3.80000000       -0.06314295608836   -0.22207343811916    0.23087582121487
     4.00000000        0.17297246023074    0.14870552427340    0.22810700328509
     4.20000000       -0.22297253442302   -0.03011842085412    0.22499748972326
     4.40000000        0.20152555143821   -0.09374550297166    0.22226283362245
     4.60000000       -0.11908551587094    0.18546814719441    0.22040824329860
     4.80000000        0.00198615637586   -0.21981898637383    0.21982795906701
     5.00000000        0.11571498841202    0.18779865113159    0.22058624596751
     5.20000000       -0.19987911093260   -0.09798752542643    0.22260551234505
     5.40000000        0.22428096888509   -0.02472640469050    0.22563986370531
     5.60000000       -0.17861708784129    0.14406785912397    0.22947682258012
     5.80000000        0.07350643685413   -0.22210421963390    0.23395187675711
     6.00000000        0.06058989267279    0.23113816841705    0.23894766789673
     6.20000000       -0.18133529155912   -0.16384084950369    0.24438967230822
     6.40000000        0.24728768086418    0.03768290906570    0.25014235695467
     6.60000000       -0.23207855089680    0.10817236612453    0.25605021886212
     6.80000000        0.13548996592629   -0.22421360637966    0.26197189191300
     7.00000000        0.01364883907588    0.26742444467282    0.26777252364028
     7.20000000       -0.16517254068003   -0.21777788466334    0.27332979208848
     7.40000000        0.26426927112277    0.08782851813378    0.27848177006285
     7.60000000       -0.27179604524590    0.07905459144577    0.28305956729983
     7.80000000        0.18072620824792   -0.22282589104975    0.28690301509358
     8.00000000       -0.02121555504509    0.28913452176941    0.28991183393352
     8.20000000       -0.14922752552057   -0.25097461054347    0.29198820097812
     8.40000000        0.26714183431398    0.12047964969895    0.29305307647629
     8.60000000       -0.28791073676958    0.05461092279607    0.29304427180178
     8.80000000        0.20373310510034   -0.20911572620450    0.29195301858324
     9.00000000       -0.04677292653797    0.28602100388513    0.28982015340619
     9.20000000       -0.12392059467696   -0.25854378814888    0.28670752375106
     9.40000000        0.24582394367205    0.13961570866985    0.28270471766468
     9.60000000       -0.27682863820058    0.02458981983839    0.27791861068966
     9.80000000        0.20998028463780   -0.17367209687331    0.27249535256394
    10.00000000       -0.07376247853700    0.25617716530733    0.26658515199617
