#    time[fs]          Re(autocorrel)      Im(autocorrel)      Abs(autocorrel)
     0.00000000        1.00000000000000    0.00000000000000    1.00000000000000
     0.00100000        0.99999940664611    0.00000000000000    0.99999940664611
     0.00740080        0.99996749688186    0.00000000000000    0.99996749688186
     0.01395488        0.99988444829552    0.00000000000000    0.99988444829552
     0.02064683        0.99974707610192    0.00000000000000    0.99974707610192
     0.02746091        0.99955263364412    0.00000000000000    0.99955263364412
     0.03438291        0.99929877461595    0.00000000000000    0.99929877461595
     0.04139997        0.99898352174017    0.00000000000000    0.99898352174017
     0.04850039        0.99860523686247    0.00000000000000    0.99860523686247
     0.05567357        0.99816259136373    0.00000000000000    0.99816259136373
     0.06290991        0.99765453654150    0.00000000000000    0.99765453654150
     0.07020076        0.99708027407829    0.00000000000000    0.99708027407829
     0.07753834        0.99643922697899    0.00000000000000    0.99643922697899
     0.08491574        0.99573101147586    0.00000000000000    0.99573101147586
     0.09232677        0.99495541040830    0.00000000000000    0.99495541040830
     0.09976599        0.99411234851767    0.00000000000000    0.99411234851767
     0.10722863        0.99320186998516    0.00000000000000    0.99320186998516
     0.11471050        0.99222411840929    0.00000000000000    0.99222411840929
     0.12220796        0.99117931929017    0.00000000000000    0.99117931929017
     0.12971787        0.99006776497407    0.00000000000000    0.99006776497407
     0.13723751        0.98888980192349    0.00000000000000    0.98888980192349
     0.14476455        0.98764582011648    0.00000000000000    0.98764582011648
     0.15229700        0.98633624434333    0.00000000000000    0.98633624434333
     0.15983317        0.98496152715491    0.00000000000000    0.98496152715491
     0.16737160        0.98352214321981    0.00000000000000    0.98352214321981
     0.17491109        0.98201858486213    0.00000000000000    0.98201858486213
     0.18245060        0.98045135857282    0.00000000000000    0.98045135857282
     0.18998927        0.97882098231314    0.00000000000000    0.97882098231314
     0.19752638        0.97712798345409    0.00000000000000    0.97712798345409
     0.20506132        0.97537289722066    0.00000000000000    0.97537289722066
     0.21259359        0.97355626553265    0.00000000000000    0.97355626553265
     0.22012278        0.97167863615352    0.00000000000000    0.97167863615352
     0.22764856        0.96974056207631    0.00000000000000    0.96974056207631
     0.23517065        0.96774260108999    0.00000000000000    0.96774260108999
     0.24268882        0.96568531548169    0.00000000000000    0.96568531548169
     0.25020291        0.96356927184001    0.00000000000000    0.96356927184001
     0.25771279        0.96139504093235    0.00000000000000    0.96139504093235
     0.26521834        0.95916319763567    0.00000000000000    0.95916319763567
     0.27271949        0.95687432090463    0.00000000000000    0.95687432090463
     0.28021621        0.95452899376536    0.00000000000000    0.95452899376536
     0.28770845        0.95212780332553    0.00000000000000    0.95212780332553
     0.29519621        0.94967134079427    0.00000000000000    0.94967134079427
     0.30267948        0.94716020150663    0.00000000000000    0.94716020150663
     0.31015828        0.94459498494909    0.00000000000000    0.94459498494909
     0.31763264        0.94197629478336    0.00000000000000    0.94197629478336
     0.32510259        0.93930473886653    0.00000000000000    0.93930473886653
     0.33256816        0.93658092926624    0.00000000000000    0.93658092926624
     0.34002941        0.93380548226985    0.00000000000000    0.93380548226985
     0.34748638        0.93097901838714    0.00000000000000    0.93097901838714
     0.35493912        0.92810216234590    0.00000000000000    0.92810216234590
     0.36238769        0.92517554308044    0.00000000000000    0.92517554308044
     0.36983215        0.92219979371278    0.00000000000000    0.92219979371278
     0.37727256        0.91917555152660    0.00000000000000    0.91917555152660
     0.38470899        0.91610345793389    0.00000000000000    0.91610345793389
     0.39214148        0.91298415843469    0.00000000000000    0.91298415843469
     0.39957011        0.90981830256980    0.00000000000000    0.90981830256980
     0.40699494        0.90660654386686    0.00000000000000    0.90660654386686
     0.41441603        0.90334953977996    0.00000000000000    0.90334953977996
     0.42183344        0.90004795162299    0.00000000000000    0.90004795162299
     0.42924724        0.89670244449703    0.00000000000000    0.89670244449703
     0.43665750        0.89331367449130    0.00000000000000    0.89331367449130
     0.44406435        0.88988228758407    0.00000000000000    0.88988228758407
     0.45146783        0.88640895925283    0.00000000000000    0.88640895925283
     0.45886801        0.88289436848942    0.00000000000000    0.88289436848942
     0.46626494        0.87933919764773    0.00000000000000    0.87933919764773
     0.47365867        0.87574413234054    0.00000000000000    0.87574413234054
     0.48104925        0.87210986133248    0.00000000000000    0.87210986133248
     0.48843672        0.86843707642916    0.00000000000000    0.86843707642916
     0.49582114        0.86472647236284    0.00000000000000    0.86472647236284
     0.50320256        0.86097874667485    0.00000000000000    0.86097874667485
     0.51058101        0.85719459959504    0.00000000000000    0.85719459959504
     0.51795654        0.85337473391851    0.00000000000000    0.85337473391851
     0.52532919        0.84951985487995    0.00000000000000    0.84951985487995
     0.53269903        0.84563065230269    0.00000000000000    0.84563065230269
     0.54006611        0.84170782696254    0.00000000000000    0.84170782696254
     0.54743048        0.83775209049046    0.00000000000000    0.83775209049046
     0.55479216        0.83376415645805    0.00000000000000    0.83376415645805
     0.56215119        0.82974474023384    0.00000000000000    0.82974474023384
     0.56950758        0.82569455884760    0.00000000000000    0.82569455884760
     0.57686139        0.82161433085385    0.00000000000000    0.82161433085385
     0.58421261        0.81750477619464    0.00000000000000    0.81750477619464
     0.59156129        0.81336661606181    0.00000000000000    0.81336661606181
     0.59890745        0.80920057275896    0.00000000000000    0.80920057275896
     0.60625110        0.80500736956322    0.00000000000000    0.80500736956322
     0.61359226        0.80078773058703    0.00000000000000    0.80078773058703
     0.62093095        0.79654238064011    0.00000000000000    0.79654238064011
     0.62826719        0.79227204509164    0.00000000000000    0.79227204509164
     0.63560098        0.78797744973297    0.00000000000000    0.78797744973297
     0.64293234        0.78365932064089    0.00000000000000    0.78365932064089
