#    time[fs]          Re(autocorrel)      Im(autocorrel)      Abs(autocorrel)
     0.00000000        0.01000000000000    0.00000000000000    0.01000000000000
     0.01000000        0.00975327483259   -0.00220628572144    0.00999970332783
     0.07582120       -0.00115491094049   -0.00991593062459    0.00998296045430
     0.14164239       -0.00994023838467    0.00009298511341    0.00994067328582
     0.20746359       -0.00095994685468    0.00982642128254    0.00987319873120
     0.27328478        0.00957763974564    0.00198464165242    0.00978110349530
     0.33910598        0.00296261530425   -0.00919989899342    0.00966515550471
     0.40492717       -0.00870188302999   -0.00387657830560    0.00952631238345
     0.47074837       -0.00471083611094    0.00809472020466    0.00936570723736
     0.53656957        0.00739168745048    0.00545164404169    0.00918463206247
     0.60239076        0.00608750712231   -0.00660786207543    0.00898451913973
     0.66821196       -0.00575973145500   -0.00660941708010    0.00876692081477
     0.73403315       -0.00701102069737    0.00486477211111    0.00853348808589
     0.79985435        0.00394101042804    0.00728871581964    0.00828594843656
     0.86567554        0.00744167352751   -0.00300657762866    0.00802608334913
     0.93149674       -0.00207927160757   -0.00747178720218    0.00775570592614
     0.99731794       -0.00738355137988    0.00117613779650    0.00747663902404
     1.06313913        0.00031308044165    0.00718387533108    0.00719069427354
     1.12896033        0.00688183814939    0.00049548546594    0.00689965232178
     1.19478152        0.00123693280468   -0.00648839373658    0.00660524458625
     1.26060272       -0.00601603537507   -0.00190066436487    0.00630913676044
     1.32642391       -0.00247829307642    0.00547843055096    0.00601291425802
     1.39224511        0.00489003730371    0.00296375717437    0.00571806972853
     1.45806631        0.00335336910355   -0.00426571362050    0.00542599272362
     1.52388750       -0.00362033126476   -0.00364579899833    0.00513796154159
     1.58970870       -0.00384199552528    0.00296840494222    0.00485513722950
     1.65552989        0.00232374688929    0.00394504868464    0.00457855967851
     1.72135109        0.00396000077420   -0.00169915585391    0.00430914570971
     1.78717228       -0.00110614807241   -0.00389361307854    0.00404768901517
     1.85299348       -0.00375409691995    0.00055473628159    0.00379486179280
     1.91881468        0.00005326109969    0.00355081846703    0.00355121789398
     1.98463587        0.00329398712853    0.00039172267400    0.00331719728932
     2.05045707        0.00077550409232   -0.00299433745786    0.00309313165073
     2.11627826       -0.00266281426805   -0.00109521943425    0.00287925084619
     2.18209946       -0.00134980358236    0.00231027012489    0.00267569014666
     2.24792065        0.00194718357748    0.00153989356733    0.00248249795229
     2.31374185        0.00166768974457   -0.00158340543833    0.00229964385641
     2.37956304       -0.00122793918350   -0.00173678113412    0.00212702687952
     2.44538424       -0.00175194225837    0.00088876015781    0.00196448372219
     2.51120544        0.00057267679411    0.00171890933664    0.00181179690310
     2.57702663        0.00164414393428   -0.00028523554242    0.00166870266713
     2.64284783       -0.00003066971001   -0.00153459212181    0.00153489856714
     2.70866902       -0.00139744688991   -0.00018810901400    0.00141005064138
     2.77449022       -0.00036947888864    0.00123992101244    0.00129380012607
     2.84031141        0.00106903678203    0.00051304000227    0.00118576965945
     2.90613261        0.00061951437178   -0.00089143809956    0.00108556894862
     2.97195381       -0.00071322932011   -0.00069061968353    0.00099279988434
     3.03777500       -0.00072892262889    0.00053984409023    0.00090706110084
     3.10359620        0.00037594619952    0.00073767807998    0.00082795198811
     3.16941739        0.00072066041113   -0.00022536325941    0.00075507617288
     3.23523859       -0.00009105285660   -0.00068199310802    0.00068804449135
     3.30105978       -0.00062598243843   -0.00002490025235    0.00062647748226
     3.36688098       -0.00012125830135    0.00055696040979    0.00057000743304
     3.43270218        0.00047914154095    0.00019757924220    0.00051828001429
     3.49852337        0.00025414389926   -0.00039649716130    0.00047095553978
     3.56434457       -0.00031265005791   -0.00029186587794    0.00042770988931
     3.63016576       -0.00031218883255    0.00023079135723    0.00038823513203
     3.69598696        0.00015362058984    0.00031697579085    0.00035223988646
     3.76180815        0.00030839514651   -0.00008330898020    0.00031944945230
     3.82762935       -0.00002148515939   -0.00028880768107    0.00028960574704
     3.89345055       -0.00026065858314   -0.00003075825322    0.00026246707814
     3.95927174       -0.00007283939293    0.00022637792019    0.00023780777933
     4.02509294        0.00018829241350    0.00010464591900    0.00021541773684
     4.09091413        0.00012648087968   -0.00014855070078    0.00019510182887
     4.15673533       -0.00010906357187   -0.00013899896421    0.00017667929918
     4.22255652       -0.00014313651069    0.00007145996187    0.00015998308299
     4.28837772        0.00003705881012    0.00014003857961    0.00014485910115
     4.35419892        0.00013098621881   -0.00000685626677    0.00013116553630
     4.42002011        0.00001847282556   -0.00011732675350    0.00011877210266
     4.48584131       -0.00010040955355   -0.00003856071436    0.00010755931915
     4.55166250       -0.00005332168942    0.00008152928299    0.00009741779380
     4.61748370        0.00006187814521    0.00006291836772    0.00008824752603
     4.68330489        0.00006772162239   -0.00004250812605    0.00007995723182
     4.74912609       -0.00002430372885   -0.00006826650666    0.00007246369551
     4.81494729       -0.00006520646293    0.00000796520993    0.00006569115144
     4.88076848       -0.00000599811939    0.00005926795498    0.00005957069686
     4.94658968        0.00005120743263    0.00001726534382    0.00005403973773
     5.01241087        0.00002569328384   -0.00004177224816    0.00004904146767
     5.07823207       -0.00003166681007   -0.00003129909847    0.00004452438012
     5.14405326       -0.00003423768300    0.00002152490023    0.00004044181335
     5.20987446        0.00001188871317    0.00003477546935    0.00003675152745
     5.27569566        0.00003326223436   -0.00000319481771    0.00003341531228
     5.34151685        0.00000423309337   -0.00003010244738    0.00003039862526
     5.40733805       -0.00002572755220   -0.00001018509698    0.00002767025736
     5.47315924       -0.00001456025852    0.00002057039113    0.00002520202609
     5.53898044        0.00001504275373    0.00001735705233    0.00002296849375
     5.60480163        0.00001865999690   -0.00000951678269    0.00002094670946
     5.67062283       -0.00000431070886   -0.00001862359330    0.00001911597338
     5.73644403       -0.00001745467256   -0.00000032087132    0.00001745762162
     5.80226522       -0.00000419220674    0.00001539422007    0.00001595483027
     5.86808642        0.00001269965942    0.00000718734126    0.00001459243721
     5.93390761        0.00000925723907   -0.00000962845269    0.00001335678017
     5.99972881       -0.00000642371868   -0.00001041366980    0.00001223554986
     6.06555000       -0.00001072054187    0.00000330239439    0.00001121765692
     6.13137120        0.00000044627987    0.00001028343211    0.00001029311137
     6.19719239        0.00000923807595    0.00000200387870    0.00000945291368
     6.26301359        0.00000395128853   -0.00000773855805    0.00000868895631
     6.32883479       -0.00000594588266   -0.00000534317067    0.00000799393479
     6.39465598       -0.00000616829380    0.00000401751310    0.00000736126754
     6.46047718        0.00000209835692    0.00000645239821    0.00000678502354
     6.52629837        0.00000625199970   -0.00000031354613    0.00000625985715
     6.59211957        0.00000123677275   -0.00000564710275    0.00000578094943
     6.65794076       -0.00000473335983   -0.00000248055706    0.00000534395533
     6.72376196       -0.00000337493893    0.00000361419118    0.00000494495608
     6.78958316        0.00000239333059    0.00000390540446    0.00000458041650
     6.85540435        0.00000408332947   -0.00000116819238    0.00000424714645
     6.92122555       -0.00000002436918   -0.00000394219100    0.00000394226632
     6.98704674       -0.00000353281971   -0.00000096852602    0.00000366317591
     7.05286794       -0.00000175955918    0.00000291807957    0.00000340752650
     7.11868913        0.00000216735868    0.00000231769879    0.00000317319576
     7.18451033        0.00000263163640   -0.00000135123008    0.00000295826518
     7.25033153       -0.00000053659793   -0.00000270835422    0.00000276099980
     7.31615272       -0.00000257065247   -0.00000021741386    0.00000257983001
     7.38197392       -0.00000086264228    0.00000225389332    0.00000241333520
     7.44779511        0.00000180224355    0.00000136402105    0.00000226022903
     7.51361631        0.00000170063249   -0.00000126470454    0.00000211934623
     7.57943750       -0.00000069120610   -0.00000186570755    0.00000198963075
     7.64525870       -0.00000186566967    0.00000012901340    0.00000187012507
     7.71107990       -0.00000038034517    0.00000171837099    0.00000175996060
     7.77690109        0.00000145070854    0.00000080347144    0.00000165834907
     7.84272229        0.00000111671131   -0.00000109583304    0.00000156457477
     7.90854348       -0.00000069017213   -0.00000130694671    0.00000147798758
     7.97436468       -0.00000137158035    0.00000027048482    0.00000139799667
     8.04018587       -0.00000012885501    0.00000131778004    0.00000132406489
     8.10600707        0.00000116109325    0.00000047817796    0.00000125570367
     8.17182827        0.00000075431246   -0.00000092357656    0.00000119246842
     8.23764946       -0.00000063160659   -0.00000094176741    0.00000113395447
     8.30347066       -0.00000103326687    0.00000031354922    0.00000107979328
     8.36929185       -0.00000000253914    0.00000102964605    0.00000102964918
     8.43511305        0.00000093916082    0.00000029101759    0.00000098321630
     8.50093424        0.00000053043777   -0.00000077629997    0.00000094021586
     8.56675544       -0.00000056021823   -0.00000070488614    0.00000090039377
     8.63257664       -0.00000080482331    0.00000031292720    0.00000086351838
     8.69839783        0.00000005739011    0.00000082739051    0.00000082937849
     8.76421903        0.00000077619333    0.00000018433500    0.00000079778160
     8.83004022        0.00000039277082   -0.00000066060855    0.00000076855226
     8.89586142       -0.00000049469173   -0.00000055240182    0.00000074153064
     8.96168261       -0.00000065267440    0.00000029578773    0.00000071657118
     9.02750381        0.00000008296249    0.00000068856154    0.00000069354147
     9.09332501        0.00000066067094    0.00000012461792    0.00000067232114
     9.15914620        0.00000030923717   -0.00000057490994    0.00000065280094
     9.22496740       -0.00000044175200   -0.00000045599361    0.00000063488188
     9.29078859       -0.00000055388472    0.00000027517697    0.00000061847445
     9.35660979        0.00000009137857    0.00000059653982    0.00000060349797
